"Concavity","Dimensionality","SNR","IP (mm)","ST (mm)","Step (pixels)","Fitting order","Curvature, true (m-1)","Curvature, est. (m-1)","Curvature, std.","Length, true (mm)","Length, est. (mm)","Length, std.","Pennation, true (deg)","Pennation, est. (deg)","Pennation, std.","Nq","N0"
-1,3,24,1.5,4.5,0.25,2,13.475,15.4467826510612,7.91201394209587,55.556468963623,31.9270397138409,14.735192056279,27.057458114624,22.9884797633586,5.35453973355684,4343,7560
1,2,24,1.5,6,0.25,2,1.997,10.6713556893175,8.98467545519075,76.2246170043945,34.4416207908719,19.6819147161505,25.4009402275085,24.9838487847765,4.40052234609892,4549,7560
1,2,24,1.5,6,0.25,2,5.925,12.0909724840194,8.37727021747037,71.9571914672852,35.2013966265268,19.449281443669,31.6063610076904,32.3149926468685,4.71246062520132,4602,7560
1,2,24,1.5,6,0.25,2,9.74,13.7023532697508,8.01373726183241,63.1066627502441,33.1126173809171,18.0072398821481,38.9743754386902,39.2277622466738,4.53763690530355,4224,7560
1,2,24,1.5,6,0.25,2,13.475,14.4233194310073,6.89749354094022,54.6583251953125,35.2386487226924,15.5427483205898,46.2719604492188,44.2226021224496,3.66587047755123,3467,7560
-1,2,24,1.5,6,0.25,2,1.997,10.2340367086631,8.86113568705033,76.2356491088867,36.9794217128059,21.079597784708,21.2540165901184,19.1616655801042,4.46360775348055,4670,7560
-1,2,24,1.5,6,0.25,2,5.925,11.4537807005027,8.4615306377127,72.2086029052734,34.8451776010806,19.2534806484187,19.8600324630737,16.1005878545354,4.90743340215195,4578,7560
-1,2,24,1.5,6,0.25,2,9.74,13.5523396955694,7.64337445126135,63.8382225036621,34.4934182312557,16.9948203553783,21.7307325363159,15.7033965229572,5.34282553918065,4588,7560
-1,2,24,1.5,6,0.25,2,13.475,15.9781059889507,7.3135299096981,55.5977630615234,31.9753154173304,14.8732561431209,25.3109040260315,19.2959782500826,6.07399720001796,4554,7560
1,3,24,1.5,6,0.25,2,1.997,11.4882087191218,9.70159288806575,76.2266235351562,33.9270653365869,18.8308327901317,24.7172027587891,24.647826951935,4.49667544864923,2844,4536
1,3,24,1.5,6,0.25,2,5.925,12.1606182322247,8.90922491696651,72.0377960205078,35.2779312701758,18.830020697677,29.2794438362122,29.4403663233504,4.03197189657188,2972,4536
1,3,24,1.5,6,0.25,2,9.74,14.6332864872661,8.81053591692845,63.392463684082,33.0511863614347,17.4647475102535,35.2218529701233,35.6913712711881,4.75773147613216,2897,4536
1,3,24,1.5,6,0.25,2,13.475,16.1049198464992,7.95668251284411,55.0152473449707,33.4028387678662,15.0289351336171,41.4822465896606,41.1572943846566,4.39718817690235,2631,4536
-1,3,24,1.5,6,0.25,2,1.997,10.8728461939358,8.56977893523671,76.2345962524414,35.4207703341087,18.9488652187504,21.7870970726013,19.4514753685629,4.16905905381007,2781,4536
-1,3,24,1.5,6,0.25,2,5.925,12.4530249514029,9.40925804451827,72.1936645507812,34.7877058470798,19.4146492248932,21.0328273773193,18.0461484757313,4.74438945699313,2803,4536
-1,3,24,1.5,6,0.25,2,9.74,13.8112212560373,8.04341921411257,63.8068504333496,34.480808169436,17.4152290071209,23.2287516593933,18.9534281665007,4.99602788148174,2615,4536
-1,3,24,1.5,6,0.25,2,13.475,16.6772853916267,7.60751957865549,55.556468963623,32.2610781322126,15.1845222860562,27.057458114624,22.6433106767714,5.64552047653789,2599,4536
1,2,24,1.5,9,0.25,2,1.997,10.5111516588239,9.34713823792278,76.2246170043945,38.7838038564428,22.6100506651307,25.4009402275085,25.032587135652,4.4394737189881,3237,5040
1,2,24,1.5,9,0.25,2,5.925,12.0043753110027,8.72511413624276,71.9571914672852,35.6148768811035,19.7763644456513,31.6063610076904,31.9689532116699,4.98788787904499,3125,5040
1,2,24,1.5,9,0.25,2,9.74,13.4364941366547,7.97840887409714,63.1066627502441,35.8808287188803,18.6699866837575,38.9743754386902,38.8003334148309,4.85860451756471,3077,5040
1,2,24,1.5,9,0.25,2,13.475,14.3163495908557,6.25760652189912,54.6583251953125,38.0186714171513,16.0923280298534,46.2719604492188,44.0706374210489,3.80717067907448,2243,5040
-1,2,24,1.5,9,0.25,2,1.997,10.7436591261251,9.45266423178145,76.2356491088867,34.972334187683,20.643105248196,21.2540165901184,18.7778057023591,4.57856469248593,3213,5040
-1,2,24,1.5,9,0.25,2,5.925,11.4445053058049,8.01772604305086,72.2086029052734,37.1715871272544,20.4577176883811,19.8600324630737,15.0925507881231,4.44447260266828,3309,5040
-1,2,24,1.5,9,0.25,2,9.74,13.8440467974473,7.74167712552503,63.8382225036621,34.1983713406088,17.9756868415526,21.7307325363159,15.7149619084969,5.6491979722121,3486,5040
-1,2,24,1.5,9,0.25,2,13.475,15.713760282749,7.26893147853561,55.5977630615234,32.1677936877235,15.0886748671465,25.3109040260315,19.379597845871,6.24218089377383,3245,5040
1,3,24,1.5,9,0.25,2,1.997,10.9928278581066,9.1305795016839,76.2266235351562,35.4874197689597,19.5409907977234,24.7172027587891,23.7638163661766,4.56837501258227,2004,3024
1,3,24,1.5,9,0.25,2,5.925,12.2796733851736,8.72774448056453,72.0377960205078,35.145066205044,18.8397781437147,29.2794438362122,29.1497269142954,4.36141621126048,1882,3024
1,3,24,1.5,9,0.25,2,9.74,13.7281300793857,8.22376390563168,63.392463684082,33.999753094934,17.0120471358405,35.2218529701233,35.1436935329958,4.27485874151705,1649,3024
1,3,24,1.5,9,0.25,2,13.475,15.9394470196095,7.99686797799466,55.0152473449707,33.8756892886349,15.9833380166666,41.4822465896606,41.4210757226164,4.02171673760279,1882,3024
-1,3,24,1.5,9,0.25,2,1.997,10.0205386303434,8.39697169472421,76.2345962524414,35.866875106749,21.4677107159774,21.7870970726013,19.3988218051262,4.41524349734365,1954,3024
-1,3,24,1.5,9,0.25,2,5.925,12.0576882516859,8.91129197538852,72.1936645507812,35.0355679372619,19.0224660738924,21.0328273773193,17.0247479309071,4.4622535604362,2066,3024
-1,3,24,1.5,9,0.25,2,9.74,13.5589011233206,7.75603897822088,63.8068504333496,34.6819941204281,18.1896266367197,23.2287516593933,18.2737133091894,5.23679065947827,2146,3024
-1,3,24,1.5,9,0.25,2,13.475,15.3820869935074,6.87905454371267,55.556468963623,35.2118244085866,15.2974845656479,27.057458114624,22.3092459969063,5.6363537536424,2013,3024
1,2,24,2,6,0.25,2,1.997,10.7179038953777,9.56532216198898,76.2244644165039,39.4577819154843,21.4573610904094,25.3643746693929,25.3878424218956,4.96176218944685,3066,4536
1,2,24,2,6,0.25,2,5.925,11.6041810452661,8.36783743114926,71.9558563232422,39.3455340271351,21.3685565517563,31.5034338633219,31.9125490489184,5.25127075189639,2792,4536
1,2,24,2,6,0.25,2,9.74,13.5144294415329,7.69363029916649,63.1038665771484,38.9791209810954,18.9917430352398,38.8237103780111,38.4840467922397,4.86817095315423,3011,4536
1,2,24,2,6,0.25,2,13.475,14.0590779291685,7.52327441508389,54.6549186706543,37.2153631843308,15.9640518325717,46.0921119689941,43.0644785804126,4.10960839098575,2269,4536
-1,2,24,2,6,0.25,2,1.997,9.90887774382194,8.7262113631895,76.2355117797852,39.5803052390494,20.7088642356983,21.2901784261068,20.1486644520235,4.62950350545461,2993,4536
-1,2,24,2,6,0.25,2,5.925,12.0695758442105,8.78782620515852,72.207275390625,36.6462322884122,19.2949656143907,19.9594223658244,16.4912286533319,5.37098417046388,2883,4536
-1,2,24,2,6,0.25,2,9.74,13.5974778167789,7.60869725495958,63.8354301452637,36.9796686898107,17.6991086577104,21.8730499267578,17.1176430357387,5.99292177526586,3128,4536
-1,2,24,2,6,0.25,2,13.475,16.071852182424,7.50803135989587,55.5941886901855,35.5556834128921,15.3209449608007,25.4820851008097,21.2292814079589,6.19181955590645,2831,4536
1,3,24,2,6,0.25,2,1.997,11.0639593159913,9.39167063166746,76.2264785766602,37.5334336714221,19.4728119554507,24.6917151133219,24.5540701644238,4.69670571910892,1921,3024
